symbol,trades,winrate,pnl_sum,pnl_avg,avg_win,avg_loss,wins,losses
WLD,10,40.0,-0.04869819067075742,-0.004869819067075742,0.004587597918372675,-0.011174763724041354,4,6
ETH,3,0.0,-0.035662057736071055,-0.011887352578690351,0.0,-0.011887352578690351,0,3
AVAX,6,33.33333333333333,-0.02407281024454604,-0.004012135040757673,0.007206051537839237,-0.009621228330056129,2,4
LINK,7,28.57142857142857,-0.009943019808142597,-0.0014204314011632283,0.008613373909427381,-0.005433953525399472,2,5
SOL,6,50.0,-0.005922818552780993,-0.0009871364254634989,0.004580059753789542,-0.006554332604716539,3,3
BNB,5,60.0,0.0036270887957097,0.0007254177591419401,0.007395103633306992,-0.009279111052105639,3,2
BTC,6,50.0,0.015545036759470748,0.0025908394599117915,0.009008709205444464,-0.003827030285620881,3,3
HYPE,3,66.66666666666666,0.023738853902964867,0.00791295130098829,0.01277837721062999,-0.0018179005182951103,2,1
