date,arm,equity,day_pnl,n_trades,n_wins,n_open,fees_est,notes
2026-07-28,A,200.0000,0.0000,0,0,0,,maxDD=0.0%
2026-07-28,B,200.0000,0.0000,0,0,0,,maxDD=0.0%
